filename,l_min,l_max,b_min,b_max
GaiaSource_207853-207918_p.csv.gz,56.694,65.05,-9.571,-0.502
GaiaSource_207919-208001_p.csv.gz,60.272,64.688,-9.959,-5.155
GaiaSource_208002-208052_p.csv.gz,59.797,62.697,-7.685,-4.542
GaiaSource_208053-208113_p.csv.gz,61.1,64.505,-8.16,-4.396
GaiaSource_208114-208201_p.csv.gz,61.806,66.898,-10.846,-5.122
GaiaSource_208202-208290_p.csv.gz,63.427,68.352,-10.621,-5.198
GaiaSource_208291-208363_p.csv.gz,64.073,68.15,-8.999,-4.565
GaiaSource_208364-208417_p.csv.gz,60.323,68.335,-9.776,-1.434
GaiaSource_208418-208472_p.csv.gz,60.761,64.612,-6.628,-2.252
GaiaSource_208473-208536_p.csv.gz,60.842,65.265,-6.093,-1.196
GaiaSource_208537-208596_p.csv.gz,61.065,64.667,-4.793,-0.645
GaiaSource_208597-208655_p.csv.gz,62.291,66.908,-6.182,-1.037
GaiaSource_208656-208716_p.csv.gz,64.204,67.612,-6.866,-3.151
GaiaSource_208717-208781_p.csv.gz,64.427,69.089,-7.01,-1.894
GaiaSource_208782-208874_p.csv.gz,64.646,68.941,-5.598,-1.015
GaiaSource_208875-209103_p.csv.gz,59.369,76.328,-19.185,-1.8
GaiaSource_209104-209404_p.csv.gz,67.543,75.705,-19.52,-11.478
GaiaSource_209405-209585_p.csv.gz,65.143,74.439,-17.799,-8.297
GaiaSource_209586-209771_p.csv.gz,67.667,74.75,-15.866,-8.392
GaiaSource_209772-209960_p.csv.gz,68.846,78.887,-18.719,-8.61
GaiaSource_209961-210286_p.csv.gz,73.075,82.109,-20.617,-11.881
GaiaSource_210287-210550_p.csv.gz,73.401,83.136,-19.1,-9.588
GaiaSource_210551-210734_p.csv.gz,73.639,80.944,-15.956,-8.69
GaiaSource_210735-210922_p.csv.gz,77.394,83.342,-14.871,-9.022
GaiaSource_210923-211039_p.csv.gz,66.53,82.611,-18.25,-2.343
GaiaSource_211040-211134_p.csv.gz,66.884,71.663,-10.588,-5.49
GaiaSource_211135-211238_p.csv.gz,68.623,73.917,-11.255,-5.57
GaiaSource_211239-211349_p.csv.gz,70.648,75.781,-11.579,-6.32
GaiaSource_211350-211449_p.csv.gz,71.104,75.829,-9.976,-5.206
GaiaSource_211450-211521_p.csv.gz,67.272,75.538,-10.517,-2.116
GaiaSource_211522-211601_p.csv.gz,68.05,72.765,-7.476,-2.422
GaiaSource_211602-211665_p.csv.gz,68.279,71.871,-5.825,-1.92
GaiaSource_211666-211731_p.csv.gz,69.528,74.434,-7.39,-2.119
GaiaSource_211732-211821_p.csv.gz,71.496,75.917,-8.166,-3.624
GaiaSource_211822-211890_p.csv.gz,71.361,76.117,-7.261,-2.258
GaiaSource_211891-211964_p.csv.gz,72.856,76.61,-5.924,-2.098
GaiaSource_211965-212090_p.csv.gz,71.471,80.612,-12.328,-3.029
GaiaSource_212091-212187_p.csv.gz,74.253,79.211,-10.729,-5.744
GaiaSource_212188-212305_p.csv.gz,76.116,82.005,-11.972,-5.943
GaiaSource_212306-212413_p.csv.gz,77.985,83.281,-11.19,-5.851
GaiaSource_212414-212504_p.csv.gz,74.991,83.596,-11.329,-2.745
GaiaSource_212505-212577_p.csv.gz,75.199,79.649,-8.214,-3.709
GaiaSource_212578-212643_p.csv.gz,75.234,79.855,-7.307,-2.583
GaiaSource_212644-212708_p.csv.gz,75.927,80.069,-6.168,-1.909
GaiaSource_212709-212786_p.csv.gz,76.916,82.094,-7.665,-2.317
GaiaSource_212787-212867_p.csv.gz,79.319,83.974,-7.511,-2.827
GaiaSource_212868-212939_p.csv.gz,79.078,82.897,-6.013,-2.198
GaiaSource_212940-213477_p.csv.gz,65.446,100.325,-35.2,-2.017
GaiaSource_213478-214410_p.csv.gz,79.989,99.833,-35.568,-19.651
GaiaSource_214411-215205_p.csv.gz,80.005,100.627,-32.683,-15.017
GaiaSource_215206-215772_p.csv.gz,79.436,91.438,-26.112,-15.494
GaiaSource_215773-216289_p.csv.gz,82.602,95.196,-24.931,-14.106
GaiaSource_216290-216807_p.csv.gz,87.392,98.802,-23.727,-13.865
GaiaSource_216808-217375_p.csv.gz,86.575,107.398,-29.777,-11.976
GaiaSource_217376-218124_p.csv.gz,95.855,108.977,-27.715,-15.797
GaiaSource_218125-218806_p.csv.gz,111.508,113.463,-25.297,-16.93
GaiaSource_218807-219318_p.csv.gz,95.216,114.132,-26.019,-9.274
GaiaSource_219319-219781_p.csv.gz,95.583,105.554,-20.426,-11.41
GaiaSource_219782-220140_p.csv.gz,95.933,105.983,-18.418,-9.005
GaiaSource_220141-220543_p.csv.gz,101.745,114.457,-20.022,-9.318
GaiaSource_220544-220854_p.csv.gz,104.488,114.779,-16.926,-8.413
GaiaSource_220855-221109_p.csv.gz,114.135,115.093,-13.84,-9.298
GaiaSource_221110-221396_p.csv.gz,109.862,115.405,-31.55,-7.787
GaiaSource_221397-221705_p.csv.gz,81.497,91.085,-18.51,-9.339
GaiaSource_221706-221911_p.csv.gz,80.497,86.845,-15.081,-8.881
GaiaSource_221912-222128_p.csv.gz,83.05,90.318,-14.803,-7.752
GaiaSource_222129-222387_p.csv.gz,84.303,94.762,-17.588,-7.693
GaiaSource_222388-222666_p.csv.gz,89.779,97.432,-16.347,-9.148
GaiaSource_222667-222892_p.csv.gz,87.627,97.843,-16.039,-6.321
GaiaSource_222893-223087_p.csv.gz,89.965,97.81,-13.101,-5.92
GaiaSource_223244-223373_p.csv.gz,81.562,87.023,-11.241,-5.839
GaiaSource_223374-223482_p.csv.gz,82.288,87.077,-9.389,-4.639
GaiaSource_223483-223623_p.csv.gz,84.094,90.749,-11.077,-4.478
GaiaSource_223624-223735_p.csv.gz,85.769,90.936,-9.071,-3.909
GaiaSource_223736-223828_p.csv.gz,82.107,90.75,-10.062,-1.462
GaiaSource_223829-223925_p.csv.gz,82.552,87.735,-6.982,-1.764
GaiaSource_223926-223996_p.csv.gz,84.101,87.943,-5.187,-1.358
GaiaSource_223997-224078_p.csv.gz,85.045,90.132,-7.158,-2.085
GaiaSource_224079-224153_p.csv.gz,86.763,91.656,-6.422,-1.551
GaiaSource_224154-224222_p.csv.gz,86.997,91.435,-5.233,-0.802
GaiaSource_224223-224339_p.csv.gz,86.105,95.532,-10.268,-0.931
GaiaSource_224340-224445_p.csv.gz,89.533,94.838,-9.234,-4.098
